region,center,zoom,bearing
central,"[-76.54294334759209,43.45347920082102]",16.82618111,44
lakeside,"[-76.54021035103943,43.45724401433708]",17.11144729,-37
east,"[-76.53636691718475,43.45522585648385]",16.9951515,0
west,"[76.54866150274084,43.45050187154001]",17.73465424, -50
athletic,"[-76.53619107389581,43.4476488569735]",16.55784477,-32
village,"[-76.54833021875518,43.44783233942783]",17.88606643,-42
rice,0,0,0
fallbrook,0,0,0
downtown,0,0,0
syracuse,0,0,0
